"studentId";"courseId";"progress";"startDate";"id"
149;34;69;"2017-01-25";71
13;58;57;"2017-01-25";72
150;23;87;"2017-01-25";73
13;74;89;"2017-01-25";74
150;26;70;"2017-01-25";75
13;12;41;"2016-01-25";76
150;29;52;"2015-01-25";77
13;66;82;"2015-01-25";78
150;35;56;"2016-01-25";79
14;67;87;"2016-08-25";80
14;21;54;"2017-01-25";81
151;65;45;"2016-01-25";82
151;73;52;"2016-01-25";83
14;31;41;"2017-01-25";84
151;33;43;"2017-01-25";85
14;4;71;"2014-01-25";86
151;2;53;"2017-08-25";87
15;32;68;"2015-01-25";88
152;54;89;"2015-08-25";89
15;33;83;"2017-08-25";90
152;61;40;"2014-01-25";91
15;62;41;"2017-08-25";92
152;5;55;"2016-01-25";93
15;66;53;"2017-01-25";94
152;15;42;"2017-01-25";95
16;34;71;"2016-01-25";96
153;51;70;"2016-01-25";97
16;3;57;"2014-01-25";98
153;15;43;"2015-01-25";99
153;56;54;"2014-01-25";100
16;61;73;"2016-01-25";101
153;4;67;"2017-01-25";102
16;49;68;"2017-01-25";103
153;40;36;"2017-08-25";104
17;32;45;"2015-01-25";105
17;33;37;"2017-08-25";106
239;42;49;"2015-01-25";107
17;27;50;"2016-01-25";108
154;3;90;"2016-01-25";109
17;13;69;"2016-01-25";110
239;34;41;"2016-08-25";111
18;17;66;"2017-01-25";112
18;8;89;"2017-01-25";113
154;35;51;"2017-01-25";114
18;19;44;"2014-01-25";115
18;68;84;"2017-01-25";116
154;28;36;"2016-01-25";117
19;19;55;"2015-01-25";118
154;63;83;"2014-01-25";119
19;46;89;"2016-01-25";120
155;27;53;"2015-01-25";121
19;6;83;"2016-01-25";122
155;62;72;"2016-01-25";123
19;71;49;"2017-01-25";124
155;6;70;"2016-08-25";125
20;37;87;"2017-08-25";126
155;63;58;"2017-08-25";127
240;70;65;"2017-08-25";128
20;16;39;"2017-01-25";129
156;68;55;"2016-08-25";130
20;72;69;"2017-01-25";131
156;44;56;"2014-01-25";132
240;69;81;"2017-08-25";133
20;15;38;"2014-01-25";134
240;52;86;"2014-01-25";135
21;46;68;"2016-01-25";136
156;57;49;"2017-01-25";137
240;75;72;"2016-01-25";138
21;28;37;"2015-08-25";139
156;8;49;"2015-01-25";140
241;1;64;"2017-01-25";141
21;23;43;"2016-08-25";142
241;13;36;"2017-01-25";143
21;66;44;"2017-08-25";144
157;41;70;"2016-01-25";145
22;48;53;"2015-01-25";146
157;65;66;"2017-01-25";147
241;31;73;"2016-01-25";148
22;67;51;"2017-01-25";149
157;62;38;"2017-01-25";150
157;73;69;"2016-01-25";151
22;42;73;"2017-01-25";152
23;71;73;"2016-01-25";153
241;33;70;"2016-01-25";154
23;70;45;"2015-01-25";155
242;67;58;"2015-01-25";156
23;43;66;"2015-01-25";157
242;21;65;"2017-01-25";158
23;48;58;"2016-01-25";159
24;41;36;"2014-01-25";160
242;2;38;"2017-01-25";161
158;57;88;"2014-01-25";162
158;26;69;"2014-08-25";163
24;40;85;"2017-08-25";164
242;18;53;"2015-01-25";165
158;27;43;"2015-08-25";166
24;32;70;"2017-01-25";167
243;43;50;"2016-08-25";168
158;5;86;"2016-01-25";169
24;28;64;"2017-01-25";170
243;28;44;"2014-01-25";171
25;30;66;"2015-08-25";172
48;22;85;"2017-08-25";173
243;74;69;"2017-01-25";174
159;48;44;"2015-01-25";175
25;51;45;"2017-08-25";176
243;7;85;"2016-01-25";177
48;17;71;"2017-01-25";178
159;21;58;"2017-01-25";179
25;73;68;"2014-08-25";180
159;29;86;"2017-01-25";181
25;43;72;"2015-01-25";182
159;34;51;"2017-08-25";183
26;9;36;"2016-01-25";184
160;52;65;"2016-08-25";185
244;8;55;"2016-01-25";186
26;57;38;"2016-01-25";187
160;16;41;"2017-01-25";188
160;36;67;"2015-01-25";189
26;21;83;"2017-01-25";190
160;72;43;"2016-01-25";191
161;27;54;"2016-01-25";192
161;73;38;"2016-01-25";193
26;75;70;"2015-01-25";194
48;74;89;"2015-01-25";195
27;71;51;"2015-01-25";196
49;76;65;"2016-08-25";197
27;69;85;"2017-01-25";198
244;17;42;"2014-01-25";199
49;48;49;"2017-08-25";200
161;15;82;"2016-01-25";201
27;73;44;"2014-01-25";202
49;70;67;"2017-01-25";203
161;2;49;"2017-01-25";204
49;50;82;"2017-01-25";205
162;1;82;"2017-01-25";206
50;11;53;"2014-01-25";207
162;46;56;"2015-01-25";208
162;55;44;"2016-01-25";209
27;8;50;"2016-01-25";210
50;10;56;"2016-01-25";211
162;53;82;"2014-01-25";212
27;37;52;"2016-01-25";213
163;76;67;"2017-08-25";214
28;67;39;"2017-08-25";215
163;48;71;"2017-01-25";216
50;56;90;"2015-01-25";217
28;76;73;"2017-08-25";218
163;33;52;"2017-01-25";219
50;40;67;"2017-01-25";220
28;1;70;"2015-01-25";221
163;25;84;"2016-01-25";222
51;29;82;"2016-01-25";223
164;31;40;"2016-01-25";224
28;53;83;"2017-01-25";225
51;75;39;"2017-08-25";226
29;67;67;"2017-01-25";227
164;4;72;"2016-01-25";228
29;76;41;"2014-01-25";229
164;35;67;"2017-08-25";230
164;50;81;"2016-01-25";231
51;25;65;"2016-01-25";232
244;37;67;"2017-01-25";233
165;67;72;"2015-01-25";234
29;44;81;"2017-01-25";235
165;76;88;"2017-01-25";236
29;59;51;"2015-01-25";237
165;12;40;"2015-01-25";238
29;2;55;"2017-01-25";239
51;24;65;"2015-01-25";240
165;44;65;"2017-01-25";241
30;75;70;"2016-01-25";242
52;53;38;"2017-01-25";243
166;13;45;"2016-01-25";244
30;71;72;"2015-08-25";245
52;8;53;"2017-01-25";246
166;43;50;"2016-08-25";247
52;51;39;"2017-01-25";248
166;69;41;"2017-08-25";249
244;68;64;"2015-08-25";250
52;52;52;"2015-01-25";251
30;39;69;"2017-08-25";252
245;35;56;"2017-08-25";253
53;57;58;"2017-08-25";254
30;24;71;"2016-01-25";255
245;34;52;"2017-08-25";256
166;25;69;"2014-01-25";257
31;43;70;"2017-01-25";258
245;5;85;"2017-08-25";259
167;19;90;"2017-01-25";260
31;50;57;"2017-01-25";261
167;1;44;"2017-01-25";262
31;75;70;"2015-01-25";263
167;53;70;"2015-01-25";264
167;57;44;"2016-01-25";265
168;34;51;"2016-01-25";266
31;30;83;"2016-01-25";267
168;10;66;"2016-01-25";268
32;63;44;"2014-01-25";269
32;16;82;"2017-01-25";270
168;22;39;"2017-08-25";271
32;69;50;"2017-01-25";272
168;46;73;"2017-01-25";273
33;34;71;"2016-08-25";274
33;11;36;"2015-01-25";275
33;6;43;"2015-01-25";276
245;11;41;"2017-08-25";277
33;62;51;"2016-01-25";278
246;4;64;"2017-01-25";279
169;57;70;"2017-01-25";280
34;19;53;"2016-01-25";281
246;73;53;"2016-01-25";282
34;1;65;"2014-01-25";283
34;31;43;"2017-08-25";284
169;9;72;"2015-01-25";285
34;66;68;"2017-01-25";286
169;28;40;"2016-01-25";287
246;27;85;"2017-01-25";288
35;57;43;"2017-01-25";289
170;26;50;"2016-01-25";290
35;42;50;"2015-01-25";291
53;9;69;"2016-08-25";292
35;28;88;"2016-01-25";293
53;12;81;"2015-08-25";294
35;32;37;"2016-01-25";295
54;70;73;"2017-08-25";296
36;4;89;"2017-01-25";297
54;69;53;"2017-08-25";298
170;32;39;"2016-01-25";299
54;8;51;"2016-01-25";300
170;63;45;"2016-08-25";301
54;4;66;"2016-01-25";302
171;60;39;"2015-08-25";303
55;76;89;"2016-01-25";304
171;25;49;"2014-08-25";305
55;21;50;"2017-01-25";306
171;9;90;"2016-08-25";307
171;39;42;"2017-01-25";308
246;62;45;"2016-01-25";309
55;7;90;"2017-01-25";310
172;35;53;"2015-01-25";311
55;31;64;"2014-01-25";312
247;69;54;"2016-01-25";313
172;38;84;"2017-01-25";314
247;29;53;"2015-01-25";315
56;19;39;"2016-08-25";316
247;35;71;"2015-08-25";317
36;65;52;"2017-01-25";318
247;26;40;"2014-08-25";319
248;1;65;"2016-08-25";320
36;37;83;"2017-08-25";321
248;19;37;"2017-08-25";322
36;51;45;"2017-08-25";323
248;50;89;"2017-08-25";324
56;13;81;"2017-08-25";325
37;22;84;"2017-01-25";326
248;69;54;"2017-01-25";327
56;36;39;"2014-01-25";328
37;20;51;"2015-01-25";329
249;7;56;"2017-01-25";330
56;9;67;"2016-01-25";331
37;13;49;"2014-01-25";332
249;63;58;"2016-01-25";333
37;7;41;"2016-08-25";334
38;71;57;"2015-08-25";335
249;35;81;"2016-01-25";336
38;69;81;"2017-08-25";337
38;61;45;"2014-01-25";338
38;24;64;"2016-01-25";339
39;17;50;"2017-01-25";340
249;38;54;"2017-01-25";341
39;53;54;"2017-01-25";342
39;9;83;"2015-01-25";343
250;1;43;"2016-08-25";344
39;45;69;"2017-01-25";345
40;3;38;"2014-01-25";346
172;46;73;"2017-01-25";347
250;50;72;"2016-08-25";348
40;37;40;"2016-01-25";349
173;35;81;"2016-01-25";350
40;19;86;"2017-08-25";351
173;16;57;"2016-01-25";352
40;16;51;"2016-08-25";353
173;34;82;"2014-01-25";354
41;21;56;"2017-01-25";355
173;42;50;"2016-01-25";356
41;48;45;"2017-01-25";357
57;18;49;"2015-01-25";358
174;58;37;"2017-01-25";359
41;62;50;"2017-01-25";360
57;73;45;"2017-01-25";361
174;60;67;"2015-01-25";362
41;23;65;"2017-08-25";363
57;55;54;"2017-01-25";364
174;47;85;"2017-08-25";365
250;19;39;"2015-08-25";366
42;76;69;"2017-08-25";367
57;51;42;"2014-01-25";368
174;10;55;"2017-08-25";369
250;71;45;"2015-01-25";370
58;42;64;"2017-08-25";371
175;21;86;"2017-01-25";372
42;21;57;"2015-01-25";373
58;9;42;"2016-01-25";374
42;58;51;"2016-01-25";375
58;39;87;"2016-01-25";376
42;23;69;"2017-08-25";377
175;48;55;"2016-01-25";378
43;67;68;"2016-01-25";379
175;12;49;"2014-01-25";380
58;40;40;"2015-01-25";381
175;64;38;"2016-01-25";382
176;38;44;"2016-08-25";383
59;36;69;"2017-01-25";384
251;44;65;"2017-01-25";385
176;52;86;"2015-08-25";386
251;56;87;"2016-01-25";387
176;60;82;"2015-08-25";388
59;62;49;"2017-08-25";389
43;48;88;"2017-01-25";390
59;63;44;"2015-08-25";391
59;46;66;"2017-01-25";392
43;9;85;"2017-01-25";393
251;69;64;"2017-08-25";394
60;6;71;"2016-01-25";395
43;19;84;"2015-01-25";396
251;31;70;"2016-01-25";397
60;24;81;"2014-01-25";398
43;27;57;"2014-01-25";399
252;48;38;"2017-01-25";400
60;7;81;"2017-01-25";401
44;50;86;"2015-08-25";402
60;39;64;"2017-01-25";403
61;50;53;"2015-01-25";404
252;21;49;"2017-01-25";405
252;9;42;"2017-08-25";406
61;1;71;"2016-01-25";407
61;69;58;"2014-01-25";408
177;66;40;"2017-01-25";409
177;58;51;"2015-01-25";410
61;57;55;"2016-01-25";411
177;56;73;"2016-01-25";412
62;12;68;"2017-08-25";413
177;38;66;"2014-01-25";414
62;2;86;"2017-01-25";415
44;43;68;"2016-08-25";416
62;36;72;"2015-01-25";417
44;59;73;"2016-01-25";418
178;48;73;"2016-01-25";419
44;66;85;"2017-08-25";420
252;49;38;"2015-08-25";421
178;67;84;"2016-08-25";422
45;67;56;"2017-08-25";423
178;26;71;"2016-08-25";424
62;1;73;"2017-01-25";425
45;21;41;"2015-08-25";426
178;54;42;"2016-01-25";427
63;40;68;"2017-01-25";428
178;6;56;"2017-01-25";429
63;65;81;"2016-01-25";430
179;16;66;"2017-01-25";431
63;44;56;"2015-01-25";432
179;38;65;"2015-01-25";433
179;24;55;"2017-08-25";434
64;70;66;"2017-01-25";435
64;71;41;"2017-01-25";436
64;10;38;"2014-01-25";437
179;25;64;"2016-01-25";438
253;46;67;"2014-08-25";439
64;50;38;"2016-01-25";440
179;30;58;"2014-01-25";441
253;47;82;"2017-08-25";442
65;9;37;"2016-01-25";443
253;8;36;"2017-01-25";444
65;26;49;"2014-01-25";445
65;45;90;"2017-08-25";446
45;30;86;"2017-08-25";447
65;72;67;"2017-08-25";448
180;68;89;"2015-01-25";449
45;3;44;"2015-08-25";450
66;42;36;"2017-08-25";451
180;56;72;"2017-01-25";452
253;36;90;"2014-01-25";453
66;23;40;"2017-08-25";454
180;65;58;"2016-01-25";455
253;17;82;"2016-01-25";456
180;35;73;"2014-01-25";457
254;23;39;"2017-08-25";458
254;32;84;"2014-01-25";459
181;41;40;"2017-01-25";460
66;25;43;"2015-01-25";461
181;36;89;"2015-01-25";462
67;72;70;"2017-01-25";463
181;59;43;"2016-01-25";464
254;6;55;"2016-08-25";465
67;5;68;"2017-01-25";466
67;36;45;"2016-01-25";467
254;22;83;"2016-01-25";468
67;31;68;"2016-01-25";469
255;69;52;"2014-01-25";470
68;55;37;"2016-01-25";471
181;54;86;"2016-08-25";472
68;64;40;"2017-01-25";473
182;47;89;"2017-08-25";474
46;74;70;"2017-01-25";475
68;1;83;"2015-01-25";476
182;50;50;"2016-01-25";477
255;70;88;"2017-08-25";478
46;20;88;"2015-01-25";479
68;42;45;"2014-08-25";480
255;37;88;"2015-01-25";481
69;6;56;"2017-08-25";482
255;40;42;"2017-01-25";483
69;7;84;"2015-08-25";484
256;7;81;"2016-08-25";485
256;16;70;"2015-08-25";486
256;33;82;"2016-08-25";487
69;36;72;"2016-08-25";488
256;44;73;"2017-01-25";489
70;60;42;"2017-01-25";490
70;25;58;"2016-01-25";491
46;44;67;"2017-01-25";492
182;4;90;"2017-01-25";493
47;41;50;"2017-01-25";494
183;57;69;"2017-01-25";495
70;68;56;"2014-01-25";496
257;12;56;"2015-01-25";497
47;36;42;"2015-01-25";498
70;41;85;"2016-01-25";499
257;39;43;"2017-08-25";500
47;54;72;"2016-01-25";501
257;64;73;"2017-08-25";502
47;38;68;"2016-01-25";503
257;57;41;"2015-01-25";504
48;66;54;"2017-01-25";505
257;54;83;"2017-08-25";506
258;30;44;"2017-01-25";507
258;8;68;"2017-01-25";508
258;73;54;"2015-08-25";509
258;58;42;"2015-01-25";510
71;32;66;"2014-01-25";511
259;26;83;"2014-08-25";512
259;33;88;"2016-01-25";513
71;33;56;"2017-01-25";514
183;9;72;"2015-01-25";515
71;15;68;"2015-08-25";516
183;70;65;"2014-01-25";517
72;35;54;"2015-01-25";518
259;6;50;"2017-01-25";519
183;48;41;"2015-08-25";520
259;68;37;"2015-01-25";521
184;50;66;"2017-01-25";522
72;7;67;"2017-01-25";523
260;67;67;"2017-08-25";524
72;56;57;"2017-01-25";525
260;48;89;"2015-08-25";526
260;35;58;"2016-01-25";527
72;36;51;"2016-01-25";528
260;6;90;"2017-01-25";529
73;53;49;"2014-01-25";530
261;29;51;"2016-08-25";531
73;39;73;"2017-01-25";532
331;44;67;"2017-01-25";533
261;69;64;"2017-08-25";534
73;72;81;"2015-01-25";535
332;64;58;"2014-01-25";536
261;13;67;"2015-08-25";537
73;56;82;"2017-01-25";538
332;22;54;"2017-01-25";539
74;6;52;"2015-01-25";540
332;32;58;"2017-08-25";541
261;7;73;"2016-01-25";542
184;28;42;"2015-01-25";543
332;3;56;"2016-08-25";544
184;37;68;"2017-01-25";545
74;34;67;"2016-01-25";546
262;76;50;"2017-01-25";547
184;12;89;"2016-01-25";548
74;61;68;"2016-01-25";549
185;21;68;"2016-01-25";550
185;48;85;"2014-01-25";551
185;56;38;"2017-01-25";552
74;24;82;"2017-01-25";553
185;69;90;"2015-01-25";554
186;32;66;"2017-08-25";555
262;67;36;"2016-01-25";556
186;9;84;"2017-08-25";557
333;76;83;"2015-01-25";558
75;23;44;"2017-01-25";559
186;63;65;"2014-08-25";560
333;48;55;"2016-01-25";561
75;9;71;"2017-01-25";562
333;4;71;"2016-01-25";563
75;27;88;"2017-08-25";564
333;39;87;"2017-01-25";565
186;41;45;"2015-08-25";566
75;50;42;"2015-01-25";567
187;70;41;"2016-01-25";568
262;1;45;"2016-01-25";569
76;39;58;"2017-01-25";570
187;71;57;"2016-01-25";571
262;27;42;"2015-01-25";572
76;17;43;"2017-01-25";573
334;32;49;"2017-08-25";574
263;61;70;"2014-01-25";575
76;37;36;"2014-01-25";576
334;33;66;"2017-01-25";577
263;25;45;"2016-08-25";578
76;22;87;"2016-01-25";579
263;66;44;"2016-01-25";580
334;70;36;"2015-01-25";581
77;1;85;"2016-01-25";582
334;42;90;"2016-01-25";583
77;13;81;"2015-01-25";584
263;19;44;"2017-01-25";585
335;9;58;"2016-01-25";586
264;25;37;"2015-01-25";587
77;62;67;"2017-01-25";588
264;60;52;"2015-01-25";589
187;36;44;"2017-01-25";590
187;54;55;"2017-01-25";591
264;52;87;"2017-08-25";592
335;23;49;"2017-01-25";593
264;41;81;"2017-08-25";594
188;1;71;"2014-01-25";595
335;56;50;"2017-08-25";596
265;50;89;"2015-08-25";597
188;13;58;"2016-01-25";598
335;69;54;"2015-08-25";599
188;7;70;"2016-01-25";600
265;19;66;"2016-01-25";601
336;49;54;"2015-01-25";602
188;14;64;"2017-01-25";603
265;18;87;"2017-01-25";604
336;27;89;"2015-01-25";605
265;47;38;"2015-01-25";606
266;59;86;"2016-01-25";607
336;7;44;"2017-01-25";608
266;66;87;"2017-01-25";609
336;64;56;"2015-01-25";610
266;10;54;"2016-08-25";611
266;31;69;"2017-08-25";612
337;47;37;"2015-01-25";613
337;19;52;"2016-08-25";614
337;41;81;"2014-01-25";615
189;52;65;"2016-01-25";616
338;4;45;"2017-01-25";617
189;16;68;"2014-01-25";618
77;20;84;"2015-08-25";619
189;39;38;"2015-01-25";620
338;14;53;"2017-01-25";621
189;37;67;"2017-01-25";622
338;55;41;"2017-01-25";623
190;34;73;"2017-08-25";624
338;59;82;"2014-01-25";625
339;32;66;"2017-08-25";626
339;26;44;"2015-01-25";627
190;38;49;"2015-08-25";628
339;68;55;"2017-01-25";629
339;47;52;"2016-01-25";630
340;11;83;"2015-01-25";631
190;68;84;"2017-08-25";632
340;52;43;"2017-08-25";633
190;18;84;"2017-01-25";634
340;5;55;"2014-08-25";635
267;39;72;"2014-08-25";636
78;72;65;"2016-08-25";637
191;50;83;"2016-01-25";638
340;56;53;"2017-08-25";639
78;59;81;"2016-08-25";640
191;47;57;"2015-01-25";641
341;26;73;"2017-08-25";642
78;21;87;"2017-01-25";643
191;7;39;"2016-08-25";644
341;23;82;"2017-01-25";645
341;32;40;"2016-01-25";646
191;1;42;"2017-08-25";647
341;44;52;"2016-01-25";648
192;76;72;"2016-08-25";649
342;29;86;"2015-01-25";650
192;48;40;"2017-01-25";651
342;75;73;"2015-01-25";652
192;5;71;"2017-01-25";653
342;68;84;"2017-01-25";654
342;43;66;"2017-01-25";655
192;33;65;"2017-01-25";656
343;26;83;"2017-08-25";657
343;42;50;"2015-01-25";658
343;22;71;"2017-01-25";659
193;39;45;"2016-01-25";660
343;67;49;"2015-08-25";661
193;12;56;"2014-01-25";662
344;23;37;"2016-01-25";663
344;32;43;"2015-01-25";664
193;46;66;"2015-01-25";665
344;42;85;"2015-01-25";666
344;6;86;"2017-01-25";667
345;33;43;"2014-01-25";668
193;10;56;"2017-01-25";669
267;51;90;"2016-08-25";670
345;9;82;"2017-01-25";671
267;37;70;"2014-01-25";672
345;32;40;"2016-08-25";673
267;43;85;"2017-01-25";674
345;43;55;"2017-01-25";675
268;57;71;"2015-01-25";676
346;23;54;"2015-01-25";677
268;32;69;"2017-01-25";678
346;57;49;"2017-08-25";679
78;48;83;"2017-01-25";680
268;30;50;"2016-01-25";681
346;42;37;"2017-08-25";682
79;1;68;"2015-01-25";683
268;56;52;"2017-01-25";684
79;28;83;"2017-01-25";685
346;34;42;"2016-01-25";686
268;44;71;"2017-08-25";687
79;50;88;"2014-01-25";688
347;26;66;"2017-01-25";689
269;46;66;"2017-08-25";690
194;65;52;"2017-01-25";691
79;44;83;"2016-01-25";692
347;32;42;"2017-08-25";693
269;50;69;"2015-08-25";694
194;49;71;"2015-01-25";695
80;39;41;"2014-01-25";696
194;11;85;"2017-01-25";697
269;59;64;"2016-01-25";698
80;15;90;"2017-01-25";699
80;29;84;"2017-08-25";700
80;7;45;"2016-08-25";701
194;4;51;"2017-08-25";702
269;4;70;"2016-01-25";703
81;19;52;"2017-08-25";704
195;58;44;"2017-08-25";705
195;59;83;"2017-01-25";706
347;8;57;"2017-01-25";707
195;56;88;"2015-01-25";708
270;70;82;"2016-08-25";709
347;29;41;"2015-01-25";710
270;75;41;"2017-08-25";711
348;59;41;"2017-01-25";712
348;25;89;"2016-01-25";713
348;39;49;"2015-01-25";714
348;66;44;"2017-01-25";715
349;4;66;"2017-01-25";716
349;31;58;"2016-08-25";717
349;28;45;"2016-08-25";718
349;26;85;"2016-01-25";719
350;17;90;"2015-01-25";720
350;39;55;"2017-01-25";721
350;75;83;"2017-01-25";722
350;55;86;"2017-08-25";723
351;53;64;"2014-01-25";724
351;39;55;"2016-01-25";725
351;32;38;"2015-01-25";726
351;10;90;"2017-01-25";727
352;67;40;"2015-08-25";728
352;76;45;"2017-01-25";729
352;18;36;"2015-01-25";730
353;29;39;"2016-01-25";731
353;69;39;"2014-08-25";732
353;51;70;"2016-08-25";733
353;47;69;"2017-08-25";734
354;71;89;"2016-08-25";735
354;70;41;"2017-08-25";736
354;48;44;"2017-01-25";737
354;59;45;"2016-01-25";738
195;34;36;"2016-01-25";739
355;21;86;"2017-01-25";740
196;9;65;"2014-01-25";741
196;32;42;"2016-01-25";742
355;67;44;"2015-01-25";743
196;1;55;"2014-08-25";744
196;72;56;"2017-01-25";745
355;32;37;"2015-08-25";746
197;48;86;"2015-01-25";747
355;22;90;"2017-08-25";748
356;49;66;"2016-08-25";749
197;21;41;"2016-01-25";750
356;18;36;"2017-08-25";751
197;70;66;"2014-01-25";752
356;28;42;"2017-01-25";753
197;35;89;"2016-01-25";754
198;70;51;"2014-01-25";755
198;69;39;"2015-08-25";756
270;11;65;"2016-08-25";757
198;32;52;"2017-01-25";758
270;67;51;"2017-08-25";759
198;23;84;"2017-01-25";760
271;70;51;"2017-01-25";761
199;18;64;"2015-01-25";762
199;62;89;"2014-01-25";763
199;6;66;"2016-01-25";764
199;31;67;"2016-01-25";765
200;10;66;"2017-01-25";766
200;24;38;"2015-01-25";767
81;47;52;"2016-08-25";768
200;59;39;"2017-01-25";769
81;37;67;"2015-01-25";770
81;42;68;"2017-01-25";771
82;67;64;"2017-01-25";772
82;21;83;"2015-01-25";773
82;26;65;"2014-01-25";774
200;45;36;"2016-01-25";775
201;57;51;"2014-01-25";776
271;69;89;"2014-01-25";777
201;26;65;"2017-08-25";778
271;48;88;"2016-01-25";779
82;29;70;"2016-01-25";780
201;30;68;"2016-01-25";781
271;37;44;"2015-01-25";782
83;76;44;"2014-01-25";783
201;29;83;"2015-01-25";784
83;67;83;"2017-01-25";785
202;15;71;"2017-01-25";786
272;35;84;"2016-01-25";787
83;53;57;"2017-01-25";788
272;6;53;"2016-08-25";789
83;13;49;"2015-08-25";790
272;65;64;"2017-08-25";791
272;51;58;"2017-01-25";792
202;17;65;"2015-01-25";793
273;56;43;"2017-01-25";794
202;72;43;"2017-01-25";795
273;41;56;"2015-08-25";796
202;70;54;"2016-08-25";797
273;6;81;"2015-01-25";798
203;14;65;"2016-01-25";799
273;15;39;"2017-01-25";800
203;65;65;"2016-01-25";801
203;18;90;"2014-01-25";802
204;29;55;"2016-01-25";803
204;75;57;"2017-01-25";804
204;40;67;"2015-01-25";805
204;39;39;"2017-01-25";806
205;27;73;"2017-08-25";807
205;36;82;"2015-08-25";808
205;33;65;"2017-08-25";809
205;40;65;"2016-01-25";810
206;54;81;"2014-01-25";811
206;20;71;"2016-01-25";812
84;33;58;"2017-01-25";813
273;23;38;"2017-08-25";814
206;66;42;"2017-01-25";815
84;32;54;"2015-01-25";816
274;44;56;"2017-08-25";817
206;9;64;"2015-01-25";818
84;49;70;"2016-01-25";819
207;74;38;"2017-01-25";820
274;36;49;"2014-01-25";821
274;74;88;"2017-01-25";822
84;64;72;"2016-01-25";823
207;60;44;"2014-01-25";824
274;53;54;"2017-01-25";825
85;49;84;"2016-01-25";826
207;73;85;"2016-08-25";827
275;29;72;"2017-01-25";828
207;40;50;"2016-01-25";829
275;70;73;"2016-08-25";830
85;68;90;"2017-01-25";831
275;73;66;"2016-01-25";832
85;53;54;"2017-08-25";833
275;53;44;"2015-01-25";834
208;57;49;"2015-01-25";835
85;36;66;"2017-01-25";836
208;26;54;"2015-01-25";837
86;7;52;"2015-01-25";838
208;15;86;"2014-01-25";839
86;34;38;"2014-01-25";840
276;32;52;"2017-08-25";841
276;33;56;"2015-08-25";842
86;40;55;"2016-01-25";843
208;28;42;"2017-08-25";844
276;70;83;"2017-01-25";845
209;36;55;"2017-08-25";846
209;56;38;"2014-01-25";847
276;17;85;"2016-01-25";848
357;12;56;"2016-01-25";849
209;38;37;"2014-01-25";850
277;76;87;"2016-08-25";851
209;75;36;"2017-01-25";852
357;15;40;"2017-01-25";853
210;53;84;"2014-08-25";854
357;26;86;"2017-01-25";855
277;21;88;"2017-08-25";856
210;30;72;"2017-01-25";857
358;38;39;"2017-08-25";858
277;35;57;"2017-08-25";859
210;49;71;"2017-01-25";860
277;27;72;"2014-01-25";861
210;6;69;"2015-01-25";862
278;15;43;"2016-01-25";863
211;6;71;"2016-01-25";864
358;34;69;"2017-01-25";865
278;17;89;"2014-01-25";866
278;43;81;"2015-01-25";867
358;62;89;"2015-01-25";868
278;32;42;"2015-01-25";869
358;16;36;"2015-08-25";870
211;63;36;"2017-08-25";871
279;21;86;"2016-01-25";872
